EDO concept,EDO label,EDO IRI,Mapping relation,External concept,External label,External IRI,External type,Alignment status,Confidence,Review status,Source standard,Rationale,Review note
edo:BendingRadius,Bending Radius,https://w3id.org/energy-domain/edo#BendingRadius,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:BurstPressure,Burst Pressure,https://w3id.org/energy-domain/edo#BurstPressure,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:CalculatedAbsoluteBurstPressure,Calculated Absolute Burst Pressure,https://w3id.org/energy-domain/edo#CalculatedAbsoluteBurstPressure,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:CapabilityAttribute,Capability attribute,https://w3id.org/energy-domain/edo#CapabilityAttribute,relatedMatch,lis:Capability,Capability,http://rds.posccaesar.org/ontology/lis14/rdl/Capability,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:CertifiedBurstPressure,Certified Burst Pressure,https://w3id.org/energy-domain/edo#CertifiedBurstPressure,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:CertifiedCollapsePressure,Certified Collapse Pressure,https://w3id.org/energy-domain/edo#CertifiedCollapsePressure,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:CertifiedDesignLife,Certified Design Life,https://w3id.org/energy-domain/edo#CertifiedDesignLife,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:CertifiedDiameter,Certified Diameter,https://w3id.org/energy-domain/edo#CertifiedDiameter,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:CertifiedDisplacedVolume,Certified Displaced Volume,https://w3id.org/energy-domain/edo#CertifiedDisplacedVolume,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:CertifiedFatigueLife,Certified Fatigue Life,https://w3id.org/energy-domain/edo#CertifiedFatigueLife,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:CertifiedInternalVolume,Certified Internal Volume,https://w3id.org/energy-domain/edo#CertifiedInternalVolume,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:CertifiedLength,Certified Length,https://w3id.org/energy-domain/edo#CertifiedLength,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:CertifiedMass,Certified Mass,https://w3id.org/energy-domain/edo#CertifiedMass,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:CertifiedMaxPressure,Certified Maximum Pressure,https://w3id.org/energy-domain/edo#CertifiedMaxPressure,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
